product ID Type title author/artist numInStock Price
1,fahrenheit 451,ray bradbury,6,9.99
2,1984,george orwell,5,15.99
3,to kill a mockingbird,harper lee,12,12.99
4,beloved,toni morrison,4,13.5
5,the little prince,antoine de saint exupéry,10,7.0
6,brave new world,aldous huxley,15,19.0
7,charlotte's web,e.b. white,10,8.99
8,hitchhiker's guide to the galaxy,douglas adams,5,9.99
9,catch-22,joseph heller,20,11.99
10,flowers for algernon,daniel keyes,7,6.99
11,a night at the opera,queen,13,6.99
12,cuz I love you,lizzo,8,7.99
13,a hard day's night,the beatles,3,3.99
14,the dark knight,n/a,4,12.99
15,jurassic park,n/a ,7,7.99
